;Term;Occurrences;Stopword
intrants;intrant;67;
pce;pce;67;
coronavirus;coronavirus;66;
renault;renault;66;
stellantis;stellantis;66;
tech;tech;66;
bitcoin;bitcoin;65;
isabel;isabel;65;
pepp;pepp;65;
school;school;65;
ehpad;ehpad;64;
ons;on;64;
truss;truss;64;
andré;andré;63;
attal;attal;63;
brent;brent;63;
christopher;christopher;63;
œufs;œuf;63;
pen;pen;63;
rexecode;rexecode;63;
ufc;ufc;63;
aurélie;aurelie;62;
brexit;brexit;62;
donald;donald;62;
impactés;impacté;62;
oxford;oxford;62;
pécresse;pécresse;62;
draghi;draghi;61;
hyperinflation;hyperinflation;61;
renégociations;renégociation;61;
rishi;rishi;61;
schnabel;schnabel;61;
superprofits;superprofit;61;
and;and;60;
janet;janet;60;
john;john;60;
bundesbank;bundesbank;59;
daniel;daniel;59;
ig;ig;59;
urssaf;urssaf;59;
aussil;aussil;58;
biocoop;biocoop;58;
jackson;jackson;58;
philip;philip;58;
descrozaille;descrozaill;57;
dor;dor;57;
ducrozet;ducrozet;57;
echos;échos;57;
hole;hole;57;
act;act;56;
bloomberg;bloomberg;56;
liz;liz;56;
mario;mario;56;
destatis;destatis;55;
emprunteurs;emprunteur;55;
impacte;impacter;55;
nielseniq;nielseniq;55;
priori;priori;55;
volcker;volcker;55;
boj;boj;54;
marseille;marseille;54;
mélenchon;mélenchon;54;
recep;recep;54;
toulouse;toulouse;54;
frederik;frederik;53;
pge;pge;53;
tayyip;tayyip;53;
andrew;andrew;52;
eti;eti;52;
funds;fund;52;
m²;m²;52;
silbert;silbert;52;
creyssel;creyssel;51;
king;king;51;
lille;lille;51;
low;low;51;
pyrénées;pyrénées;51;
rhône;rhône;51;
summers;summer;51;
fr;fr;50;
georgieva;georgieva;50;
ludovic;ludovic;50;
mexique;Mexique;50;
agroalimentaires;agroalimentaire;49;
bfm;bfm;49;
boris;boris;49;
catherine;catherine;49;
ifop;ifop;49;
jones;jones;49;
laurence;laurence;49;
nancy;nancy;49;
pictet;pictet;49;
apple;apple;48;
asset;asset;48;
istanbul;istanbul;48;
johnson;johnson;48;
kristalina;kristalin;48;
mobilités;mobilité;48;
start;start;48;
ania;ania;47;
arnaud;arnaud;47;
buenos;buenos;47;
calignon;calignon;47;
cryptomonnaies;cryptomonnaie;47;
discounters;discounter;47;
idfm;idfm;47;
tablaient;tabler;47;
tablait;tabler;47;
alsif;alsif;46;
bailey;bailey;46;
blanchard;blanchard;46;
désendettement;désendettement;46;
dow;dow;46;
fabien;fabien;46;
ipc;ipc;46;
lane;lane;46;
assai;assai;45;
brzeski;brzeski;45;
decathlon;decathlon;45;
estonie;estonie;45;
gourinchas;gourinch;45;
ile;ile;45;
manœuvre;manœuvre;45;
scpi;scpi;45;
btp;btp;44;
carsten;carsten;44;
cécile;cécile;44;
cpme;cpme;44;
credit;credit;44;
environnementales;environnemental;44;
henri;henri;44;
reduction;réduction;44;
rn;rn;44;
agnès;agnes;43;
am;am;43;
ccas;ccas;43;
friday;friday;43;
ine;ine;43;
lep;lep;43;
lvmh;lvmh;43;
madrid;madrid;43;
market;market;43;
opinionway;opinionway;43;
scholz;scholz;43;
times;tim;43;
dares;dar;42;
geoffroy;geoffroy;42;
goldman;goldman;42;
joachim;joachim;42;
lfi;lfi;42;
sachs;sachs;42;
unef;unef;42;
yvelines;yvelines;42;
cost;cost;41;
delphine;delphine;41;
dotations;dotation;41;
engie;engie;41;
fur;fur;41;
jo;jo;41;
research;research;41;
cédric;cédric;40;
egypte;egypte;40;
financial;financial;40;
impacté;impacté;40;
irlande;Irlande;40;
larry;larry;40;
matthieu;matthieu;40;
provence;provence;40;
institute;institut;39;
mds;mds;39;
stéphanie;stéphanie;39;
décarbonation;décarbonation;38;
dussopt;dussopt;38;
fnac;fnac;38;
food;food;38;
foodwatch;foodwatch;38;
garonne;garonne;38;
luxembourg;luxembourg;38;
milei;milei;38;
nagel;nagel;38;
opep;opep;38;
simon;simon;38;
svb;svb;38;
apl;apl;37;
bouygues;bouygues;37;
cfe;cfe;37;
fnsea;fnse;37;
laure;laure;37;
nielsen;nielsen;37;
obama;obama;37;
olaf;olaf;37;
power;power;37;
quo;quo;37;
revalorisées;revalorisé;37;
salarial;salarial;37;
tgv;tgv;37;
bénéficieront;bénéficier;36;
bfmtv;bfmtv;36;
cftc;cftc;36;
cgc;cgc;36;
emblée;emblée;36;
fomc;fomc;36;
friedman;friedman;36;
ldds;ldd;36;
odile;odile;36;
omc;omc;36;
pakistan;pakistan;36;
procos;procos;36;
ps;ps;36;
shrinkflation;shrinkflation;36;
bios;bios;35;
deutsche;deutsche;35;
el;el;35;
fao;fao;35;
fast;fast;35;
harvard;harvard;35;
ii;ii;35;
mnla;mnla;35;
plichon;plichon;35;
pricing;pricing;35;
statu;statu;35;
victor;victor;35;
america;america;34;
bézieux;bézieux;34;
camille;camille;34;
cvae;cva;34;
elysée;elysée;34;
facto;facto;34;
franciliens;francilien;34;
hunt;hunt;34;
javier;javier;34;
jeremy;jeremy;34;
lituanie;lituanie;34;
milton;milton;34;
morgan;morgan;34;
ong;ong;34;
oréal;oréal;34;
panéliste;paneliste;34;
pb;pb;34;
statisticiens;statisticien;34;
valorisations;valorisation;34;
agirc;agirc;33;
arrco;arrco;33;
bpce;bpce;33;
conjoncturelle;conjoncturel;33;
déconsommation;déconsommation;33;
dembik;dembik;33;
facebook;facebook;33;
franceinfo;franceinfo;33;
hélène;hélene;33;
iframe;iframe;33;
iran;iran;33;
moëc;moëc;33;
partenariats;partenariat;33;
patrice;patrice;33;
pcf;pcf;33;
sanchez;sanchez;33;
tokyo;tokyo;33;
tv;tv;33;
app;app;32;
argentiers;argentier;32;
auch;auch;32;
bersinger;bersinger;32;
colliac;colliac;32;
darty;darty;32;
émergentes;émerger;32;
google;google;32;
intersyndicale;intersyndical;32;
jonathan;jonathan;32;
nantes;nantes;32;
plf;plf;32;
prévisionnistes;prévisionniste;32;
annualisé;annualisé;31;
barclays;barclays;31;
brest;brest;31;
céline;céline;31;
contrario;contrario;31;
crous;crous;31;
damien;damien;31;
encontre;encontre;31;
fcd;fcd;31;
garnier;garnier;31;
heyer;heyer;31;
leroy;leroy;31;
manufacturier;manufacturier;31;
oat;oat;31;
occitanie;occitanie;31;
peter;peter;31;
phillips;phillips;31;
po;po;31;
quelqu;quelqu;31;
alexis;alexis;30;
anticipaient;anticiper;30;
aussila;aussi;30;
blog;blog;30;
cma;cma;30;
cyril;cyril;30;
financées;financé;30;
furman;furman;30;
im;im;30;
joël;joël;30;
lebelle;lebelle;30;
oddo;oddo;30;
plateformes;plateforme;30;
rectificative;rectificatif;30;
tf;tf;30;
trade;trade;30;
vendée;vendée;30;
vinted;vinted;30;
von;von;30;
acté;acté;29;
australie;australie;29;
beaune;beaune;29;
conjoncturel;conjoncturel;29;
davos;davos;29;
deloitte;deloitt;29;
essonne;essonne;29;
exonérations;exonération;29;
fhf;fhf;29;
good;good;29;
israël;israël;29;
james;james;29;
lhh;lhh;29;
lindner;lindner;29;
metall;metall;29;
mobilisations;mobilisation;29;
nadia;nadia;29;
navigo;navigo;29;
nobel;nobel;29;
petrobras;petrobras;29;
relocalisation;relocalisation;29;
sri;sri;29;
strasbourg;strasbourg;29;
waechter;waechter;29;
yann;yann;29;
armor;armor;28;
autriche;Autriche;28;
bns;bns;28;
cloud;cloud;28;
cyrille;cyrille;28;
fage;fage;28;
gmt;gmt;28;
lambert;lambert;28;
leyen;leyen;28;
malte;malte;28;
mix;mix;28;
morbihan;morbihan;28;
normandie;normandie;28;
norvège;norvège;28;
ostrum;ostrum;28;
pedro;pedro;28;
rmc;rmc;28;
roch;roch;28;
roger;roger;28;
roland;roland;28;
rome;rome;28;
rtl;rtl;28;
sandrine;sandrine;28;
airbnb;airbnb;27;
amf;amf;27;
bpifrance;bpifrance;27;
conjoncturelles;conjoncturel;27;
cumulée;cumulé;27;
dauvers;dauvers;27;
dgccrf;dgccrf;27;
floch;floch;27;
fsu;fsu;27;
gfk;gfk;27;
gouverneure;gouverneur;27;
gpa;gpa;27;
guy;guy;27;
moody;moody;27;
orban;orban;27;
rer;rer;27;
san;san;27;
savoie;savoie;27;
soutenabilité;soutenabilité;27;
aix;aix;26;
anxiogène;anxiogène;26;
associatif;associatif;26;
aussibce;bce;26;
elior;elior;26;
fabrice;fabrice;26;
fitch;fitch;26;
franprix;franprix;26;
free;free;26;
gentiloni;gentiloni;26;
goetzmann;goetzmann;26;
grégory;grégory;26;
hlm;hlm;26;
jason;jason;26;
lactalis;lactalis;26;
mégawattheure;mégawattheure;26;
michael;michael;26;
netflix;netflix;26;
raul;raul;26;
récessions;récession;26;
roussel;roussel;26;
silicon;silicon;26;
ubs;ub;26;
valley;valley;26;
aquitaine;aquitaine;25;
baradez;baradez;25;
cojop;cojop;25;
décéléré;décéleré;25;
digitalisation;digitalisation;25;
easing;easing;25;
energie;energie;25;
fabio;fabio;25;
finistère;finistère;25;
françoise;françoise;25;
gaëlle;gaëlle;25;
hsbc;hsbc;25;
hypers;hyper;25;
ipsos;ipsos;25;
lanka;lanka;25;
lettonie;lettonie;25;
photovoltaïques;photovoltaïque;25;
ratp;ratp;25;
rbi;rbi;25;
spreads;spreads;25;
tunisie;tunisie;25;
ursula;ursula;25;
waller;waller;25;
wealth;wealth;25;
yannick;yannick;25;
accédants;accedant;24;
alberto;alberto;24;
amélie;amelie;24;
asterès;asterès;24;
atacadao;atacadao;24;
bert;bert;24;
big;big;24;
cepii;cepii;24;
coface;coface;24;
cotillard;cotillard;24;
csf;csf;24;
drh;drh;24;
énergivores;énergivore;24;
frank;frank;24;
hervé;hervé;24;
ieseg;ieseg;24;
ikea;ike;24;
incitations;incitation;24;
karl;karl;24;
loïc;loïc;24;
marion;marion;24;
nigeria;nigeria;24;
œil;œil;24;
pisani;pisana;24;
raphaël;raphaël;24;
relocalisations;relocalisation;24;
revalorisés;revalorisé;24;
stokomani;stokomani;24;
subran;subran;24;
swift;swift;24;
volkswagen;volkswagen;24;
arino;arino;23;
attractives;attractif;23;
cci;cci;23;
crédoc;crédoc;23;
défiscalisée;défiscalisé;23;
downing;downing;23;
etienne;etienne;23;
harris;harris;23;
impactées;impacté;23;
intercommunalités;intercommunalité;23;
jens;jens;23;
julie;julie;23;
lionel;lionel;23;
mans;mans;23;
manufacturière;manufacturier;23;
mwh;mwh;23;
nanterre;nanterre;23;
résilient;résilient;23;
retail;retail;23;
sampognaro;sampognaro;23;
shanghai;shanghai;23;
think;think;23;
wyoming;wyoming;23;
albert;albert;22;
arabie;arabie;22;
barack;barack;22;
belfort;belfort;22;
besançon;besançon;22;
christiane;christiane;22;
clinton;clinton;22;
discounter;discounter;22;
ducrocq;ducrocq;22;
édile;édile;22;
etf;etf;22;
factset;factset;22;
georges;georges;22;
gérald;gérald;22;
gérard;gérard;22;
jay;jay;22;
knot;knot;22;
lorient;lorient;22;
microsoft;microsoft;22;
mondelez;mondelez;22;
netto;netto;22;
onu;onu;22;
quid;quid;22;
réassurance;réassurance;22;
russo;russo;22;
sfr;sfr;22;
smartphone;smartphone;22;
tl;tl;22;
yo;yo;22;
zimbabwe;zimbabwe;22;
akp;akp;21;
aussile;aussi;21;
chantal;chantal;21;
chartier;chartier;21;
clotilde;clotilde;21;
éco;éco;21;
emmaüs;emmaüs;21;
énergéticiens;énergéticien;21;
fourquet;fourquet;21;
gaspi;gasp;21;
hcfp;hcfp;21;
hugo;hugo;21;
ifo;ifo;21;
inégalitaire;inégalitaire;21;
iphone;iphone;21;
léa;léa;21;
maroc;maroc;21;
michelin;michelin;21;
npd;npd;21;
nutella;nutella;21;
pmi;pmi;21;
recrutements;recrutement;21;
reserve;reserve;21;
rolland;rolland;21;
roumanie;roumanie;21;
sarah;sarah;21;
sarkozy;sarkozy;21;
sodexo;sodexo;21;
tassel;tassel;21;
versailles;versailles;21;
xixe;xixe;21;
aop;aop;20;
bhf;bhf;20;
cio;cio;20;
cnbc;cnbc;20;
cnrs;cnr;20;
conjoncturels;conjoncturel;20;
conjoncturistes;conjoncturiste;20;
corée;corée;20;
désinflationniste;désinflationniste;20;
durand;durand;20;
eco;eco;20;
economic;economic;20;
edenred;edenred;20;
emmanuelle;emmanuelle;20;
exogènes;exogène;20;
fernandez;fernandez;20;
florent;florent;20;
gayraud;gayraud;20;
hébel;hébel;20;
high;high;20;
ille;ille;20;
intercommunalité;intercommunalité;20;
investment;investment;20;
malo;malo;20;
meta;meta;20;
mninflation;inflation;20;
moselle;moselle;20;
partners;partners;20;
pepsico;pepsico;20;
prospectives;prospectives;20;
rungis;rungis;20;
securities;securities;20;
ségur;ségur;20;
sintra;sintra;20;
solideo;solideo;20;
spread;spread;20;
tarn;tarn;20;
texas;texas;20;
umih;umih;20;
vérier;vérier;20;
adn;adn;19;
adrien;adrien;19;
alstom;alstom;19;
arthur;arthur;19;
aussipour;aussipour;19;
copropriétés;copropriétés;19;
cryptos;cryptos;19;
csa;csa;19;
cumulent;cumulent;19;
émilie;émilie;19;
ends;ends;19;
fcpe;fcpe;19;
figeac;figeac;19;
frédérique;frédérique;19;
giorgia;giorgia;19;
hérault;hérault;19;
ir;ir;19;
is;is;19;
kastler;kastler;19;
keynes;keynes;19;
led;led;19;
maine;maine;19;
med;med;19;
meyer;meyer;19;
mitterrand;mitterrand;19;
modi;modi;19;
pass;pass;19;
peterson;peterson;19;
quéré;quéré;19;
samuel;samuel;19;
saône;saône;19;
slovaquie;slovaquie;19;
smartphones;smartphones;19;
tiny;tiny;19;
treasuries;treasuries;19;
unsa;unsa;19;
véran;véran;19;
walmart;walmart;19;
worldpanel;worldpanel;19;
adam;adam;18;
anglo;anglo;18;
aurélien;aurélien;18;
aussihausse;aussihausse;18;
bénédicte;bénédicte;18;
better;better;18;
bund;bund;18;
carlos;carlos;18;
core;core;18;
csg;csg;18;
delhi;delhi;18;
démondialisation;démondialisation;18;
deniz;deniz;18;
égypte;égypte;18;
fabienne;fabienne;18;
gaudens;gaudens;18;
guindos;guindos;18;
ht;ht;18;
impacter;impacter;18;
kiev;kiev;18;
laëtitia;laëtitia;18;
lindt;lindt;18;
patricia;patricia;18;
plfr;plfr;18;
price;price;18;
prou;prou;18;
réassureurs;réassureurs;18;
refinancer;refinancer;18;
rémy;rémy;18;
résiliente;résiliente;18;
sandra;sandra;18;
sergio;sergio;18;
subprimes;subprimes;18;
surprofits;surprofits;18;
toyota;toyota;18;
unpi;unpi;18;
vinci;vinci;18;
yon;yon;18;
al;al;17;
angers;angers;17;
antigaspi;antigaspi;17;
appli;appli;17;
asf;asf;17;
aude;aude;17;
build;build;17;
cdc;cdc;17;
charente;charente;17;
ciblant;ciblant;17;
darmanin;darmanin;17;
darmet;darmet;17;
décollecte;décollecte;17;
ecalle;ecalle;17;
ecole;ecole;17;
facts;facts;17;
finlande;finlande;17;
gaël;gaël;17;
gers;gers;17;
ilec;ilec;17;
juliette;juliette;17;
labellisés;labellisés;17;
laura;laura;17;
locatifs;locatifs;17;
lrem;lrem;17;
mayenne;mayenne;17;
mecachrome;mecachrome;17;
melun;melun;17;
merkel;merkel;17;
money;money;17;
montreuil;montreuil;17;
nicole;nicole;17;
odier;odier;17;
pay;pay;17;
pierrick;pierrick;17;
revalorisée;revalorisée;17;
sanofi;sanofi;17;
stefan;stefan;17;
telecom;telecom;17;
trading;trading;17;
uc;uc;17;
venezuela;venezuela;17;
agen;agen;16;
ali;ali;16;
anthony;anthony;16;
antonio;antonio;16;
ariège;ariège;16;
aveyron;aveyron;16;
biero;biero;16;
brainard;brainard;16;
brigitte;brigitte;16;
cashback;cashback;16;
cgm;cgm;16;
champeil;champeil;16;
cnn;cnn;16;
compétitives;compétitives;16;
compositrices;compositrices;16;
décélère;décélère;16;
douret;douret;16;
énergivore;énergivore;16;
étienne;étienne;16;
ffb;ffb;16;
ford;ford;16;
francilien;francilien;16;
gamble;gamble;16;
groupama;groupama;16;
gueydon;gueydon;16;
ipp;ipp;16;
jaurès;jaurès;16;
kering;kering;16;
kwh;kwh;16;
lael;lael;16;
lannion;lannion;16;
lci;lci;16;
leboncoin;leboncoin;16;
loa;loa;16;
lucie;lucie;16;
lula;lula;16;
marx;marx;16;
meloni;meloni;16;
muriel;muriel;16;
neoma;neoma;16;
pap;pap;16;
park;park;16;
pénalisées;pénalisées;16;
pouyanné;pouyanné;16;
procter;procter;16;
project;project;16;
qe;qe;16;
réindustrialisation;réindustrialisation;16;
rosenthal;rosenthal;16;
rtt;rtt;16;
sarthe;sarthe;16;
statistics;statistics;16;
stiglitz;stiglitz;16;
stream;stream;16;
thales;thales;16;
tltro;tltro;16;
tony;tony;16;
uber;uber;16;
ünal;ünal;16;
verdeau;verdeau;16;
viktor;viktor;16;
villeneuve;villeneuve;16;
vœux;vœux;16;
vulnérabilités;vulnérabilités;16;
wti;wti;16;
xxe;xxe;16;
yield;yield;16;
ad;ad;15;
alsace;alsace;15;
ankara;ankara;15;
aussien;aussien;15;
bitcoins;bitcoins;15;
bolsonaro;bolsonaro;15;
braun;braun;15;
bruegel;bruegel;15;
bulgarie;bulgarie;15;
cfd;cfd;15;
chirac;chirac;15;
déciles;déciles;15;
désindexation;désindexation;15;
elabe;elabe;15;
emma;emma;15;
enag;enag;15;
fipeco;fipeco;15;
foundation;foundation;15;
francis;francis;15;
gard;gard;15;
gita;gita;15;
globales;globales;15;
gnl;gnl;15;
gopinath;gopinath;15;
grenoble;grenoble;15;
hamas;hamas;15;
hébergements;hébergements;15;
heineken;heineken;15;
hubert;hubert;15;
iii;iii;15;
innovantes;innovantes;15;
jaravel;jaravel;15;
josé;josé;15;
kiabi;kiabi;15;
klaas;klaas;15;
liban;liban;15;
macif;macif;15;
minimas;minimas;15;
monétisation;monétisation;15;
monique;monique;15;
naturalia;naturalia;15;
périgueux;périgueux;15;
policy;policy;15;
ppi;ppi;15;
quentin;quentin;15;
ricard;ricard;15;
schneider;schneider;15;
séverine;séverine;15;
shirts;shirts;15;
shopmium;shopmium;15;
simsek;simsek;15;
smb;smb;15;
sœur;sœur;15;
stanislas;stanislas;15;
surréagir;surréagir;15;
suv;suv;15;
tapering;tapering;15;
téhéran;téhéran;15;
thatcher;thatcher;15;
verdissement;verdissement;15;
vitry;vitry;15;
weidmann;weidmann;15;
yohann;yohann;15;
alan;alan;14;
albi;albi;14;
alixpartners;alixpartners;14;
artificialisation;artificialisation;14;
audrey;audrey;14;
bild;bild;14;
blablacar;blablacar;14;
bls;bls;14;
brothers;brothers;14;
cazenave;cazenave;14;
chipoy;chipoy;14;
christelle;christelle;14;
clermont;clermont;14;
cofidis;cofidis;14;
défiscalisation;défiscalisation;14;
dgf;dgf;14;
diaz;diaz;14;
dordogne;dordogne;14;
doubs;doubs;14;
echiquier;echiquier;14;
électroménagers;électroménagers;14;
elizabeth;elizabeth;14;
équipementiers;équipementiers;14;
erkan;erkan;14;
evidemment;evidemment;14;
exposants;exposants;14;
feuerstein;feuerstein;14;
florian;florian;14;
fnaim;fnaim;14;
fortuneo;fortuneo;14;
génèrent;génèrent;14;
hedge;hedge;14;
huet;huet;14;
impactée;impactée;14;
imran;imran;14;
ingrid;ingrid;14;
interprofessionnel;interprofessionnel;14;
isf;isf;14;
jan;jan;14;
jeanne;jeanne;14;
johan;johan;14;
karine;karine;14;
krugman;krugman;14;
laval;laval;14;
leroux;leroux;14;
lô;lô;14;
maastricht;maastricht;14;
macsf;macsf;14;
mehmet;mehmet;14;
michèle;michèle;14;
musk;musk;14;
name;name;14;
œuf;œuf;14;
pandémique;pandémique;14;
paulo;paulo;14;
peugeot;peugeot;14;
plafonnés;plafonnés;14;
plfss;plfss;14;
politologue;politologue;14;
reagan;reagan;14;
reconditionnés;reconditionnés;14;
rémi;rémi;14;
rémunérée;rémunérée;14;
resolution;resolution;14;
sephora;sephora;14;
simpl;simpl;14;
so;so;14;
sodiaal;sodiaal;14;
startup;startup;14;
thaïlande;thaïlande;14;
tisséo;tisséo;14;
trichet;trichet;14;
tunis;tunis;14;
tweet;tweet;14;
unitaires;unitaires;14;
veolia;veolia;14;
affrique;affrique;13;
alice;alice;13;
allen;allen;13;
anna;anna;13;
astérix;astérix;13;
bapif;bapif;13;
bbc;bbc;13;
bcr;bcr;13;
bdo;bdo;13;
boursorama;boursorama;13;
buy;buy;13;
cae;cae;13;
camizon;camizon;13;
cathy;cathy;13;
cdi;cdi;13;
chevée;chevée;13;
chloé;chloé;13;
cl;cl;13;
cojo;cojo;13;
colijn;colijn;13;
drouin;drouin;13;
ème;ème;13;
festifs;festifs;13;
fevad;fevad;13;
foods;foods;13;
franciliennes;franciliennes;13;
gaye;gaye;13;
general;general;13;
george;george;13;
gregory;gregory;13;
harmonisées;harmonisées;13;
hoibian;hoibian;13;
iéseg;iéseg;13;
inflations;inflations;13;
jdd;jdd;13;
labor;labor;13;
lehman;lehman;13;
liabeuf;liabeuf;13;
lisa;lisa;13;
lisbonne;lisbonne;13;
lld;lld;13;
lsa;lsa;13;
macedo;macedo;13;
macronie;macronie;13;
manon;manon;13;
markets;markets;13;
maurice;maurice;13;
mercer;mercer;13;
meurthe;meurthe;13;
montauban;montauban;13;
morin;morin;13;
msa;msa;13;
mulliez;mulliez;13;
myriam;myriam;13;
nadine;nadine;13;
olonne;olonne;13;
panorabanques;panorabanques;13;
pénalisent;pénalisent;13;
poor;poor;13;
préengagées;préengagées;13;
primark;primark;13;
protectionnistes;protectionnistes;13;
protourisme;protourisme;13;
qatar;qatar;13;
ratios;ratios;13;
rémunérant;rémunérant;13;
ricardo;ricardo;13;
ronne;ronne;13;
shame;shame;13;
swiss;swiss;13;
syndicate;syndicate;13;
too;too;13;
ttc;ttc;13;
tutt;tutt;13;
varsovie;varsovie;13;
virgile;virgile;13;
xerfi;xerfi;13;
xi;xi;13;
zemmour;zemmour;13;
aah;aah;12;
actée;actée;12;
ademe;ademe;12;
american;american;12;
andy;andy;12;
angel;angel;12;
angela;angela;12;
annie;annie;12;
arbitrent;arbitrent;12;
atlanta;atlanta;12;
aussiles;aussiles;12;
aussiroyaume;aussiroyaume;12;
aussiune;aussiune;12;
autrice;autrice;12;
baissière;baissière;12;
barraud;barraud;12;
basildon;basildon;12;
bastien;bastien;12;
besnier;besnier;12;
beyrouth;beyrouth;12;
blackrock;blackrock;12;
bœuf;bœuf;12;
bonduelle;bonduelle;12;
carhaix;carhaix;12;
cdiscount;cdiscount;12;
center;center;12;
chicago;chicago;12;
chocolatiers;chocolatiers;12;
college;college;12;
coluche;coluche;12;
commerzbank;commerzbank;12;
cook;cook;12;
corinne;corinne;12;
cse;cse;12;
dax;dax;12;
décarboner;décarboner;12;
déconfinement;déconfinement;12;
désendetter;désendetter;12;
disney;disney;12;
dove;dove;12;
elon;elon;12;
energy;energy;12;
epargne;epargne;12;
estelle;estelle;12;
euler;euler;12;
exonérés;exonérés;12;
faurecia;faurecia;12;
fesneau;fesneau;12;
first;first;12;
géraldine;géraldine;12;
girard;girard;12;
glaneurs;glaneurs;12;
gobain;gobain;12;
hafize;hafize;12;
hermes;hermes;12;
inabordables;inabordables;12;
incompressibles;incompressibles;12;
iq;iq;12;
isère;isère;12;
jacentes;jacentes;12;
jair;jair;12;
jefferson;jefferson;12;
jorge;jorge;12;
josée;josée;12;
jpmorgan;jpmorgan;12;
lcl;lcl;12;
lefebvre;lefebvre;12;
lévy;lévy;12;
life;life;12;
lolivier;lolivier;12;
london;london;12;
malpass;malpass;12;
metz;metz;12;
michaël;michaël;12;
mirabaud;mirabaud;12;
mnpouvoir;mnpouvoir;12;
